street_name,type,s_node_id,e_node_id,long_snode,lat_snode,long_enode,lat_enode
Quốc lộ 1,trunk_link,366443014,5772493649,106.7474536,10.8741188,106.74763,10.8741203
Quốc lộ 1,trunk_link,5772493649,1958801756,106.74763,10.8741203,106.7477217,10.8741256
Quốc lộ 1,trunk_link,1958801756,366441405,106.7477217,10.8741256,106.7479852,10.8740938
Quốc lộ 1,trunk_link,366441405,366458482,106.7479852,10.8740938,106.7482334,10.874043
Quốc lộ 1,trunk_link,366458482,1958801734,106.7482334,10.874043,106.7484426,10.8740001
Quốc lộ 1,trunk_link,1958801734,1958801729,106.7484426,10.8740001,106.7486827,10.8739879
Quốc lộ 1,trunk_link,1958801729,4068085477,106.7486827,10.8739879,106.7487761,10.8740027
Quốc lộ 1,trunk_link,4068085477,1958801752,106.7487761,10.8740027,106.7488694,10.8740359
Quốc lộ 1,trunk_link,1958801752,1958801766,106.7488694,10.8740359,106.749006,10.8741032
Quốc lộ 1,trunk,370557500,2240992084,106.7257876,10.8661481,106.726438,10.8664676
Quốc lộ 1,trunk,2240992084,5769804485,106.726438,10.8664676,106.726544,10.8665179
Quốc lộ 1,trunk,5769804485,366451416,106.726544,10.8665179,106.7268955,10.8667146
Quốc lộ 1,trunk,370818102,366386137,106.6773483,10.8616392,106.6778891,10.8615919
Quốc lộ 1,trunk,366386137,366441903,106.6778891,10.8615919,106.6783994,10.8615502
Quốc lộ 1,trunk,366441903,4069456107,106.6783994,10.8615502,106.6789561,10.8615111
Quốc lộ 1,trunk,4069456107,4069450023,106.6789561,10.8615111,106.6790827,10.8614993
Quốc lộ 1,trunk,4069450023,2466118973,106.6790827,10.8614993,106.6795098,10.8614642
Quốc lộ 1,trunk,2466118973,366453363,106.6795098,10.8614642,106.679948,10.8614323
Quốc lộ 1,trunk,366453363,737199269,106.679948,10.8614323,106.6803894,10.8613931
Quốc lộ 1,trunk,737199269,5655390898,106.6803894,10.8613931,106.6806439,10.8613723
Quốc lộ 1,trunk,5655390898,370818103,106.6806439,10.8613723,106.6807462,10.861364
Quốc lộ 1,trunk,5737781406,2394608712,106.6018731,10.8194118,106.6018978,10.8195042
Quốc lộ 1,trunk,2394608712,2242336146,106.6018978,10.8195042,106.6025437,10.8223924
Quốc lộ 1,trunk,2242336146,4943408396,106.6025437,10.8223924,106.6029623,10.8243843
Quốc lộ 1,trunk,4943408396,5468638846,106.6029623,10.8243843,106.6030557,10.8248557
Quốc lộ 1,trunk,5468638846,5468638847,106.6030557,10.8248557,106.6030832,10.8249648
Quốc lộ 1,trunk,5468638847,378247747,106.6030832,10.8249648,106.6032978,10.8260263
Quốc lộ 1,trunk,378247703,3378029844,106.6033934,10.8264516,106.6035617,10.8271027
Quốc lộ 1,trunk,3378029844,4069537746,106.6035617,10.8271027,106.6038046,10.8281292
Quốc lộ 1,trunk,4069537746,4069537747,106.6038046,10.8281292,106.6039017,10.8284627
Quốc lộ 1,trunk,4069537747,723876658,106.6039017,10.8284627,106.6040069,10.8287404
Quốc lộ 1,trunk,723876658,4069537749,106.6040069,10.8287404,106.6041822,10.8293388
Quốc lộ 1,trunk,4069537749,366446449,106.6041822,10.8293388,106.6044113,10.8298549
Quốc lộ 1,trunk,366446449,4131984744,106.6044113,10.8298549,106.6051835,10.831165
Quốc lộ 1,trunk,4131984744,4069537750,106.6051835,10.831165,106.6066244,10.8335559
Quốc lộ 1,trunk,4069537750,5740445226,106.6066244,10.8335559,106.6069704,10.8341502
Quốc lộ 1,trunk,5740445226,5740444707,106.6069704,10.8341502,106.6069871,10.8341789
Quốc lộ 1,trunk,5740444707,5740444719,106.6069871,10.8341789,106.6070692,10.8343199
Quốc lộ 1,trunk,5740444719,366375189,106.6070692,10.8343199,106.6071157,10.8343998
Quốc lộ 1,trunk,366375189,5740444692,106.6071157,10.8343998,106.607296,10.8347085
Quốc lộ 1,trunk,5740444692,3164004910,106.607296,10.8347085,106.6074408,10.8349562
Quốc lộ 1,trunk,3164004910,5740445223,106.6074408,10.8349562,106.6077759,10.8354767
Quốc lộ 1,trunk,5740445223,723876662,106.6077759,10.8354767,106.6079961,10.8358187
Quốc lộ 1,trunk,723876662,4069537752,106.6079961,10.8358187,106.6085327,10.8364798
Quốc lộ 1,trunk,4069537752,366372666,106.6085327,10.8364798,106.6088112,10.836786
Quốc lộ 1,trunk,366372666,2867878036,106.6088112,10.836786,106.6099504,10.8377804
Quốc lộ 1,trunk,2867878036,2922951004,106.6099504,10.8377804,106.6105691,10.8383822
Quốc lộ 1,trunk,2922951004,5737781379,106.6105691,10.8383822,106.6121596,10.8397695
Quốc lộ 1,trunk,5737781379,5752850590,106.6121596,10.8397695,106.612229,10.8398303
Quốc lộ 1,trunk,5752850590,3164011056,106.612229,10.8398303,106.6128052,10.8403353
Quốc lộ 1,trunk,3164011056,5752850657,106.6128052,10.8403353,106.6129252,10.8404449
Quốc lộ 1,trunk,5752850657,2246658855,106.6129252,10.8404449,106.6130388,10.8405485
Quốc lộ 1,trunk,2246658855,1611021922,106.6130388,10.8405485,106.6133802,10.8408762
Quốc lộ 1,trunk,1958801408,676030968,106.7958668,10.8618381,106.7961088,10.8614947
Quốc lộ 1,trunk,676030968,1958801357,106.7961088,10.8614947,106.7964496,10.8609842
Quốc lộ 1,trunk,1958801357,1958801326,106.7964496,10.8609842,106.7966111,10.8607657
Quốc lộ 1,trunk,1958801326,1958801312,106.7966111,10.8607657,106.7968994,10.8604288
Quốc lộ 1,trunk,1958801312,1958801305,106.7968994,10.8604288,106.7971053,10.8602062
Quốc lộ 1,trunk,1958801305,4068031145,106.7971053,10.8602062,106.7972502,10.8600621
Quốc lộ 1,trunk,4068031145,1958801292,106.7972502,10.8600621,106.7977406,10.8596206
Quốc lộ 1,trunk,1958801292,4068031150,106.7977406,10.8596206,106.7978686,10.8595033
Quốc lộ 1,trunk,4068031150,1958801280,106.7978686,10.8595033,106.7981672,10.8592311
Quốc lộ 1,trunk,1958801280,4068031142,106.7981672,10.8592311,106.7982379,10.8592315
Quốc lộ 1,trunk,4068031142,5781025972,106.7982379,10.8592315,106.7982768,10.8592538
Quốc lộ 1,trunk,5781025972,4068031141,106.7982768,10.8592538,106.7983062,10.8593077
Quốc lộ 1,trunk,4068031141,1958801282,106.7983062,10.8593077,106.7983097,10.8593692
Quốc lộ 1,trunk,1958801282,1958801286,106.7983097,10.8593692,106.7982698,10.85942
Quốc lộ 1,trunk,1958801286,5781025973,106.7982698,10.85942,106.7982172,10.8594613
Quốc lộ 1,trunk,5781025973,1958801290,106.7982172,10.8594613,106.7979945,10.8596177
Quốc lộ 1,trunk,1958801290,1958801297,106.7979945,10.8596177,106.7975535,10.8600202
Quốc lộ 1,trunk,1958801297,1958801306,106.7975535,10.8600202,106.7972652,10.8602853
Quốc lộ 1,trunk,1958801306,4068031149,106.7972652,10.8602853,106.7970956,10.8604584
Quốc lộ 1,trunk,4068031149,1958801313,106.7970956,10.8604584,106.7969401,10.8606136
Quốc lộ 1,trunk,1958801313,1958801320,106.7969401,10.8606136,106.7967757,10.860797
Quốc lộ 1,trunk,1958801320,1958801362,106.7967757,10.860797,106.7965998,10.8610122
Quốc lộ 1,trunk,1958801362,1958801378,106.7965998,10.8610122,106.7963794,10.8613494
Quốc lộ 1,trunk,1958801378,4068031148,106.7963794,10.8613494,106.7961718,10.8616661
Quốc lộ 1,trunk,4068031148,1958801410,106.7961718,10.8616661,106.7960558,10.8618651
Quốc lộ 1,trunk,1503295208,4068085503,106.7531005,10.8759274,106.7534087,10.8759779
Quốc lộ 1,trunk,4068085503,1958801923,106.7534087,10.8759779,106.7536895,10.8760159
Quốc lộ 1,trunk,1958801923,1958801927,106.7536895,10.8760159,106.7541813,10.8760019
Quốc lộ 1,trunk,1958801927,1958801921,106.7541813,10.8760019,106.7543706,10.875994
Quốc lộ 1,trunk,1958801921,5772687805,106.7543706,10.875994,106.7546608,10.8759605
Quốc lộ 1,trunk,5772687805,4068085502,106.7546608,10.8759605,106.7546981,10.875961
Quốc lộ 1,trunk,4068085502,1921517667,106.7546981,10.875961,106.7549059,10.8759248
Quốc lộ 1,trunk,1921517667,5762601997,106.7549059,10.8759248,106.7549729,10.8759077
Quốc lộ 1,trunk,5762601997,1958801907,106.7549729,10.8759077,106.755312,10.8758386
Quốc lộ 1,trunk,1958801907,5772493630,106.755312,10.8758386,106.7554502,10.8758095
Quốc lộ 1,trunk,5772493630,2953644078,106.7554502,10.8758095,106.7560029,10.8757188
Quốc lộ 1,trunk,2953644078,1958801889,106.7560029,10.8757188,106.7564193,10.8756353
Quốc lộ 1,trunk,1958801889,5762601994,106.7564193,10.8756353,106.756571,10.8756061
Quốc lộ 1,trunk,5762601994,5762600148,106.756571,10.8756061,106.7570452,10.8755149
Quốc lộ 1,trunk,5762600148,1958801855,106.7570452,10.8755149,106.7577616,10.875377
Quốc lộ 1,trunk,1958801855,1958801842,106.7577616,10.875377,106.7587878,10.8751674
Quốc lộ 1,trunk,1958801842,1958801835,106.7587878,10.8751674,106.7594679,10.8750138
Quốc lộ 1,trunk,1958801835,1958801824,106.7594679,10.8750138,106.7600461,10.8748608
Quốc lộ 1,trunk,1958801824,5762654832,106.7600461,10.8748608,106.7602667,10.8748056
Quốc lộ 1,trunk,5762654832,1958801793,106.7602667,10.8748056,106.7606702,10.8746866
Quốc lộ 1,trunk,1958801793,1958801787,106.7606702,10.8746866,106.7614378,10.8744363
Quốc lộ 1,trunk,1958801787,5762654844,106.7614378,10.8744363,106.7617811,10.8743386
Quốc lộ 1,trunk,5762654844,5762654803,106.7617811,10.8743386,106.7619422,10.8742781
Quốc lộ 1,trunk,5762654803,5762654805,106.7619422,10.8742781,106.762156,10.8742065
Quốc lộ 1,trunk,5762654805,5762654852,106.762156,10.8742065,106.7624556,10.8741041
Quốc lộ 1,trunk,5762654852,1958801764,106.7624556,10.8741041,106.7627258,10.8739963
Quốc lộ 1,trunk,676029779,1958801408,106.7957769,10.8619893,106.7958668,10.8618381
Quốc lộ 1,trunk,676029958,1958801473,106.7952438,10.8631382,106.7951619,10.863268
Quốc lộ 1,trunk,1958801473,676030031,106.7951619,10.863268,106.7948042,10.8638409
Quốc lộ 1,trunk,676030031,4068051906,106.7948042,10.8638409,106.794596,10.8641572
Quốc lộ 1,trunk,4068051906,1958801505,106.794596,10.8641572,106.7943186,10.8645433
Quốc lộ 1,trunk,1958801505,1958801532,106.7943186,10.8645433,106.7941606,10.8647434
Quốc lộ 1,trunk,1958801532,1958801548,106.7941606,10.8647434,106.7940208,10.8649183
Quốc lộ 1,trunk,1958801548,4068051908,106.7940208,10.8649183,106.7938283,10.8651299
Quốc lộ 1,trunk,4068051908,1958801560,106.7938283,10.8651299,106.7935727,10.8653874
Quốc lộ 1,trunk,1958801560,4068051907,106.7935727,10.8653874,106.7933392,10.865603
Quốc lộ 1,trunk,4068051907,1958801571,106.7933392,10.865603,106.7930837,10.8658174
Quốc lộ 1,trunk,370818109,366473013,106.6701834,10.86167,106.6704144,10.8616757
Quốc lộ 1,trunk,366473013,3164009010,106.6704144,10.8616757,106.6708951,10.8616841
Quốc lộ 1,trunk,3164009010,366368819,106.6708951,10.8616841,106.6712945,10.8616899
Quốc lộ 1,trunk,366368819,4069455198,106.6712945,10.8616899,106.6726063,10.8617012
Quốc lộ 1,trunk,4069455198,4069455200,106.6726063,10.8617012,106.6736764,10.8617281
Quốc lộ 1,trunk,4069455200,366476232,106.6736764,10.8617281,106.6744753,10.8617308
Quốc lộ 1,trunk,366476232,4069450022,106.6744753,10.8617308,106.6752492,10.8617231
Quốc lộ 1,trunk,4069450022,366451610,106.6752492,10.8617231,106.6757533,10.8617152
Quốc lộ 1,trunk,366451610,366376292,106.6757533,10.8617152,106.6769831,10.8616584
Quốc lộ 1,trunk,5769332100,5653129578,106.6987685,10.8600152,106.6994678,10.8599336
Quốc lộ 1,trunk,5653129578,5772000331,106.6994678,10.8599336,106.6997559,10.8599
Quốc lộ 1,trunk,5772000331,366477611,106.6997559,10.8599,106.7005416,10.8598082
Quốc lộ 1,trunk,366477611,4068497320,106.7005416,10.8598082,106.701791,10.8596619
Quốc lộ 1,trunk,4068497320,366388702,106.701791,10.8596619,106.7031368,10.8594892
Quốc lộ 1,trunk,366388702,4435836781,106.7031368,10.8594892,106.7032176,10.8594786
Quốc lộ 1,trunk,4435836781,5653034596,106.7032176,10.8594786,106.7033995,10.8594548
Quốc lộ 1,trunk,5653034596,5653034602,106.7033995,10.8594548,106.7043595,10.859329
Quốc lộ 1,trunk,5653034602,366401969,106.7043595,10.859329,106.7046378,10.8592926
Quốc lộ 1,trunk,366401969,5772159072,106.7046378,10.8592926,106.7052214,10.859221
Quốc lộ 1,trunk,5772159072,366403296,106.7052214,10.859221,106.7053179,10.859212
Quốc lộ 1,trunk,366403296,366443133,106.7053179,10.859212,106.7063485,10.8590954
Quốc lộ 1,trunk,366443133,5653034584,106.7063485,10.8590954,106.7065276,10.8590738
Quốc lộ 1,trunk,5653034584,5653034577,106.7065276,10.8590738,106.7068765,10.8590316
Quốc lộ 1,trunk,5653034577,5653034576,106.7068765,10.8590316,106.7075945,10.8589449
Quốc lộ 1,trunk,5653034576,737199296,106.7075945,10.8589449,106.7084186,10.8588454
Quốc lộ 1,trunk,737199296,5653034558,106.7084186,10.8588454,106.7088596,10.8587896
Quốc lộ 1,trunk,5653034558,5653035863,106.7088596,10.8587896,106.7091649,10.8587509
Quốc lộ 1,trunk,5653035863,366429039,106.7091649,10.8587509,106.7092716,10.8587374
Quốc lộ 1,trunk,366400829,366429527,106.6811242,10.8613359,106.6818126,10.8612731
Quốc lộ 1,trunk,366429527,366474578,106.6818126,10.8612731,106.682951,10.8612036
Quốc lộ 1,trunk,366474578,370818118,106.682951,10.8612036,106.6838885,10.8611534
Quốc lộ 1,trunk,366388861,366431263,106.665362,10.8616696,106.667354,10.8616499
Quốc lộ 1,trunk,366431263,4069455503,106.667354,10.8616499,106.6686351,10.8616436
Quốc lộ 1,trunk,4069455503,370818108,106.6686351,10.8616436,106.6698385,10.8616663
Quốc lộ 1,trunk_link,1499680485,2941339880,106.5948202,10.6911306,106.5946319,10.6907935
Quốc lộ 1,trunk_link,3648397941,3648397936,106.5940686,10.6890699,106.5940797,10.6889902
Quốc lộ 1,trunk_link,3648397936,3648397970,106.5940797,10.6889902,106.5940801,10.6888558
Quốc lộ 1,trunk_link,3648397970,1499680425,106.5940801,10.6888558,106.5939723,10.6884722
Quốc lộ 1,trunk,1499680492,2228546680,106.5952862,10.6922408,106.5952087,10.6919871
Quốc lộ 1,trunk,2228546680,366449592,106.5952087,10.6919871,106.5949077,10.6911041
Quốc lộ 1,trunk,366449592,404729665,106.5949077,10.6911041,106.5945384,10.6899898
Quốc lộ 1,trunk,404729665,3648397980,106.5945384,10.6899898,106.5939833,10.6882659
Quốc lộ 1,trunk,3648397980,1499680418,106.5939833,10.6882659,106.5937007,10.6873172
Quốc lộ 1,trunk,1499680418,3648375556,106.5937007,10.6873172,106.5935807,10.6869904
Quốc lộ 1,trunk,3648375556,3648397940,106.5935807,10.6869904,106.5934364,10.6865974
Quốc lộ 1,trunk,3648397940,366409504,106.5934364,10.6865974,106.5932218,10.6861256
Quốc lộ 1,trunk,366409504,4815676421,106.5932218,10.6861256,106.5930126,10.6857179
Quốc lộ 1,trunk,4815676421,366384976,106.5930126,10.6857179,106.5928856,10.6854703
Quốc lộ 1,trunk,366384976,366454120,106.5928856,10.6854703,106.5923174,10.68465
Quốc lộ 1,trunk,366454120,2684988773,106.5923174,10.68465,106.5919415,10.6842066
Quốc lộ 1,trunk,2684988773,366368178,106.5919415,10.6842066,106.591531,10.6837755
Quốc lộ 1,trunk,366368178,2684988720,106.591531,10.6837755,106.5907161,10.6829735
Quốc lộ 1,trunk,2684988720,366369816,106.5907161,10.6829735,106.590131,10.6824039
Quốc lộ 1,trunk,366369816,2214109742,106.590131,10.6824039,106.5894687,10.6817724
Quốc lộ 1,trunk,2214109742,366376294,106.5894687,10.6817724,106.5886853,10.6811027
Quốc lộ 1,trunk,366376294,5765003023,106.5886853,10.6811027,106.5882993,10.6807941
Quốc lộ 1,trunk,5765003023,5765004499,106.5882993,10.6807941,106.5881176,10.6806489
Quốc lộ 1,trunk,5765004499,5765024213,106.5881176,10.6806489,106.5878231,10.6804026
Quốc lộ 1,trunk,5765024213,5765004500,106.5878231,10.6804026,106.5874851,10.6801202
Quốc lộ 1,trunk,5765004500,366456180,106.5874851,10.6801202,106.5873171,10.6799826
Quốc lộ 1,trunk,366456180,366472438,106.5873171,10.6799826,106.5867576,10.6795176
Quốc lộ 1,trunk,366472438,5765024227,106.5867576,10.6795176,106.5863407,10.6791511
Quốc lộ 1,trunk,5765024227,5765004508,106.5863407,10.6791511,106.5859187,10.6788021
Quốc lộ 1,trunk,5765004508,5765003020,106.5859187,10.6788021,106.5854652,10.6784153
Quốc lộ 1,trunk,5765003020,5765004459,106.5854652,10.6784153,106.5849805,10.6780018
Quốc lộ 1,trunk,5765004459,5765003042,106.5849805,10.6780018,106.5829578,10.6762765
Quốc lộ 1,trunk_link,1499680415,1499680420,106.5936911,10.6869714,106.5939157,10.6874021
Quốc lộ 1,trunk_link,1499680420,2210695716,106.5939157,10.6874021,106.5942694,10.6885527
Quốc lộ 1,trunk_link,2210695716,1499680434,106.5942694,10.6885527,106.5945924,10.6895265
Quốc lộ 1,trunk_link,3074863945,1499680482,106.5947696,10.6900916,106.5950532,10.6909655
Quốc lộ 1,trunk_link,1499680482,1499680488,106.5950532,10.6909655,106.5953696,10.6918851
Quốc lộ 1,trunk_link,1499680488,3648397943,106.5953696,10.6918851,106.5954717,10.692238
Quốc lộ 1,trunk_link,3648397943,3648397944,106.5954717,10.692238,106.5955799,10.6928175
Quốc lộ 1,trunk,2214405759,3648397942,106.5937742,10.6872886,106.594064,10.6882419
Quốc lộ 1,trunk,3648397942,3648397937,106.594064,10.6882419,106.5946002,10.6899286
Quốc lộ 1,trunk,3648397937,1499680490,106.5946002,10.6899286,106.5953622,10.6922138
Quốc lộ 1,trunk_link,3648397955,3648397927,106.5954745,10.6928637,106.5953429,10.6926254
Quốc lộ 1,trunk_link,3648397927,1499680489,106.5953429,10.6926254,106.595228,10.6923616
Quốc lộ 1,trunk_link,1499680489,1499680487,106.595228,10.6923616,106.5948493,10.6912474
Quốc lộ 1,trunk_link,1499680487,1499680485,106.5948493,10.6912474,106.5948202,10.6911306
Quốc lộ 1,trunk_link,1499680485,3648424649,106.5948202,10.6911306,106.5944973,10.6901831
Quốc lộ 1,trunk_link,3648424651,1499680425,106.5942948,10.6896197,106.5939723,10.6884722
Quốc lộ 1,trunk_link,1499680425,1499680419,106.5939723,10.6884722,106.593672,10.6875496
Quốc lộ 1,trunk_link,1499680419,3648375556,106.593672,10.6875496,106.5935807,10.6869904
Quốc lộ 1,trunk_link,1500226354,1500226341,106.5993276,10.7146166,106.5992506,10.7145179
Quốc lộ 1,trunk_link,1500226341,1500226338,106.5992506,10.7145179,106.5992163,10.7144092
Quốc lộ 1,trunk_link,1500226338,4066517148,106.5992163,10.7144092,106.5991933,10.7143466
Quốc lộ 1,trunk_link,4066517148,1500226334,106.5991933,10.7143466,106.5991642,10.7143114
Quốc lộ 1,trunk_link,1500226334,4066503737,106.5991642,10.7143114,106.5991105,10.7142678
Quốc lộ 1,trunk_link,4066503737,1500226330,106.5991105,10.7142678,106.5990358,10.7142633
Quốc lộ 1,trunk_link,1500226330,1500226332,106.5990358,10.7142633,106.5989611,10.7142701
Quốc lộ 1,trunk_link,1500226332,1500226335,106.5989611,10.7142701,106.5988723,10.7143275
Quốc lộ 1,trunk,2212447332,2212447325,106.5980512,10.7059468,106.5982052,10.7067397
Quốc lộ 1,trunk,2212447325,5753114833,106.5982052,10.7067397,106.5982759,10.7071561
Quốc lộ 1,trunk,5753114833,2212538455,106.5982759,10.7071561,106.5984911,10.7084267
Quốc lộ 1,trunk,2212538455,3169000946,106.5984911,10.7084267,106.5986661,10.7093776
Quốc lộ 1,trunk,3169000946,2326585142,106.5986661,10.7093776,106.5987378,10.7097964
Quốc lộ 1,trunk,2326585142,2631995028,106.5987378,10.7097964,106.5987814,10.7100438
Quốc lộ 1,trunk,2631995028,2212447328,106.5987814,10.7100438,106.5988072,10.7101663
Quốc lộ 1,trunk,2212447328,4066517152,106.5988072,10.7101663,106.5988528,10.7104588
Quốc lộ 1,trunk,4066517152,5750708991,106.5988528,10.7104588,106.5990532,10.7111145
Quốc lộ 1,trunk,5750708991,2246611348,106.5990532,10.7111145,106.599113,10.7113101
Quốc lộ 1,trunk,2246611348,1500226312,106.599113,10.7113101,106.5991875,10.7116179
Quốc lộ 1,trunk,1500226312,5750708925,106.5991875,10.7116179,106.5993429,10.7125125
Quốc lộ 1,trunk,5750708925,5750708927,106.5993429,10.7125125,106.5993686,10.7126605
Quốc lộ 1,trunk,5750708927,5750708928,106.5993686,10.7126605,106.5994244,10.7129813
Quốc lộ 1,trunk,5750708928,1500226316,106.5994244,10.7129813,106.5995331,10.7136071
Quốc lộ 1,trunk,1500226316,1500226321,106.5995331,10.7136071,106.5995938,10.7138939
Quốc lộ 1,trunk,1500226321,4066503742,106.5995938,10.7138939,106.5995938,10.7141164
Quốc lộ 1,trunk,4066503742,4066503723,106.5995938,10.7141164,106.6005115,10.7193772
Quốc lộ 1,trunk,4066503723,1500226714,106.6005115,10.7193772,106.6005862,10.7196135
Quốc lộ 1,trunk,1500226714,3169000948,106.6005862,10.7196135,106.6007753,10.7207446
Quốc lộ 1,trunk,3169000948,2242413000,106.6007753,10.7207446,106.600823,10.7210209
Quốc lộ 1,trunk,2242413000,5023969318,106.600823,10.7210209,106.6008486,10.7212323
Quốc lộ 1,trunk,5023969318,4066528698,106.6008486,10.7212323,106.6008538,10.7212752
Quốc lộ 1,trunk,4066528698,2212532440,106.6008538,10.7212752,106.6008846,10.7218352
Quốc lộ 1,trunk,2212532440,2242412979,106.6008846,10.7218352,106.6009,10.7220108
Quốc lộ 1,trunk,2242412979,2242412990,106.6009,10.7220108,106.6009586,10.7223438
Quốc lộ 1,trunk,2242412990,4066528700,106.6009586,10.7223438,106.6010325,10.7225345
Quốc lộ 1,trunk,4066528700,5023969316,106.6010325,10.7225345,106.6010612,10.7225897
Quốc lộ 1,trunk,5023969316,4066528699,106.6010612,10.7225897,106.6011034,10.7226708
Quốc lộ 1,trunk,4066528699,2242412993,106.6011034,10.7226708,106.6011787,10.7227948
Quốc lộ 1,trunk,2242412993,4066528702,106.6011787,10.7227948,106.6014947,10.7233307
Quốc lộ 1,trunk,4066528702,1648965090,106.6014947,10.7233307,106.6015866,10.7235026
Quốc lộ 1,trunk_link,1500226712,4066503719,106.6001433,10.7194792,106.6000702,10.7193932
Quốc lộ 1,trunk_link,4066503719,1500226689,106.6000702,10.7193932,106.5999022,10.7186472
Quốc lộ 1,trunk_link,1500226689,4066503717,106.5999022,10.7186472,106.5998686,10.7185134
Quốc lộ 1,trunk_link,4066503717,1500226665,106.5998686,10.7185134,106.5998084,10.7183777
Quốc lộ 1,trunk_link,1500226665,1500226640,106.5998084,10.7183777,106.5997482,10.7182682
Quốc lộ 1,trunk_link,1500226640,4066503716,106.5997482,10.7182682,106.5996686,10.7181482
Quốc lộ 1,trunk_link,4066503716,1500226605,106.5996686,10.7181482,106.5995147,10.7179535
Quốc lộ 1,trunk_link,1500226605,1500226538,106.5995147,10.7179535,106.5988805,10.7175884
Quốc lộ 1,trunk_link,1500226538,1500226528,106.5988805,10.7175884,106.598792,10.7175188
Quốc lộ 1,trunk_link,1500226528,1500226503,106.598792,10.7175188,106.5986518,10.7173793
Quốc lộ 1,trunk_link,1500226503,1500226476,106.5986518,10.7173793,106.5984982,10.7172051
Quốc lộ 1,trunk_link,1500226476,1500226466,106.5984982,10.7172051,106.5984312,10.7170912
Quốc lộ 1,trunk_link,1500226466,1500226461,106.5984312,10.7170912,106.59836,10.7169115
Quốc lộ 1,trunk_link,1500226461,5748270159,106.59836,10.7169115,106.5983295,10.716736
Quốc lộ 1,trunk_link,5748270159,5748270157,106.5983295,10.716736,106.5983015,10.716575
Quốc lộ 1,trunk_link,5748270157,1500226398,106.5983015,10.716575,106.5981933,10.7159528
Quốc lộ 1,trunk_link,1500226398,5748270155,106.5981933,10.7159528,106.5981758,10.7158543
Quốc lộ 1,trunk_link,5748270155,1500226389,106.5981758,10.7158543,106.598112,10.7154954
Quốc lộ 1,trunk_link,1500226389,1500226383,106.598112,10.7154954,106.598108,10.7152657
Quốc lộ 1,trunk_link,1500226383,4066517147,106.598108,10.7152657,106.5981323,10.7151678
Quốc lộ 1,trunk_link,4066517147,1500226364,106.5981323,10.7151678,106.5981933,10.71505
Quốc lộ 1,trunk_link,1500226364,4066517146,106.5981933,10.71505,106.5983295,10.7148982
Quốc lộ 1,trunk_link,4066517146,4066517144,106.5983295,10.7148982,106.5984901,10.7147704
Quốc lộ 1,trunk_link,4066517144,4066517145,106.5984901,10.7147704,106.5986182,10.7146485
Quốc lộ 1,trunk_link,4066517145,1500226351,106.5986182,10.7146485,106.5987117,10.7145307
Quốc lộ 1,trunk_link,1500226351,5750709096,106.5987117,10.7145307,106.598837,10.7143722
Quốc lộ 1,trunk_link,5750709096,1500226335,106.598837,10.7143722,106.5988723,10.7143275
Quốc lộ 1,trunk_link,1500226335,1500226323,106.5988723,10.7143275,106.5989774,10.7140407
Quốc lộ 1,trunk_link,1500226323,4066503740,106.5989774,10.7140407,106.5990124,10.7138939
Quốc lộ 1,trunk_link,4066503740,1500226318,106.5990124,10.7138939,106.5990334,10.7137287
Quốc lộ 1,trunk_link,1500226318,4066503741,106.5990334,10.7137287,106.5990358,10.7134281
Quốc lộ 1,trunk_link,4066503741,1500226313,106.5990358,10.7134281,106.5990474,10.7132262
Quốc lộ 1,primary,4069486218,1611021948,106.6173902,10.8447047,106.617126,10.8445057
Quốc lộ 1,primary,1611021948,5748254884,106.617126,10.8445057,106.6169255,10.8443364
Quốc lộ 1,primary,5748254884,5748254897,106.6169255,10.8443364,106.6161658,10.8436392
Quốc lộ 1,primary,5748254897,1611021944,106.6161658,10.8436392,106.6160996,10.8435785
Quốc lộ 1,primary,4069480289,4069480184,106.6156431,10.8426703,106.6157852,10.8428645
Quốc lộ 1,primary,4069480184,5748254854,106.6157852,10.8428645,106.6159459,10.8430267
Quốc lộ 1,primary,5748254854,2210869159,106.6159459,10.8430267,106.6161705,10.8432535
Quốc lộ 1,primary,2210869159,5748254886,106.6161705,10.8432535,106.6165558,10.8435951
Quốc lộ 1,primary,5748254886,2091954901,106.6165558,10.8435951,106.6173549,10.8443126
Quốc lộ 1,trunk,366432776,4066837826,106.5973026,10.700274,106.5973238,10.6998065
Quốc lộ 1,trunk,4066837826,2212444897,106.5973238,10.6998065,106.5972354,10.6991771
Quốc lộ 1,trunk,2212444897,3169000942,106.5972354,10.6991771,106.5970938,10.6983424
Quốc lộ 1,trunk,3169000942,4066837829,106.5970938,10.6983424,106.5970442,10.6980086
Quốc lộ 1,trunk,4066837829,4066837827,106.5970442,10.6980086,106.5969805,10.6976295
Quốc lộ 1,trunk,4066837827,4066837828,106.5969805,10.6976295,106.5969027,10.6973235
Quốc lộ 1,trunk,4066837828,2276924417,106.5969027,10.6973235,106.5967859,10.697007
Quốc lộ 1,trunk,2276924417,366450062,106.5967859,10.697007,106.596708,10.6967497
Quốc lộ 1,trunk,366450062,5767087735,106.596708,10.6967497,106.5966717,10.6966356
Quốc lộ 1,trunk,5767087735,5455825177,106.5966717,10.6966356,106.596641,10.6965392
Quốc lộ 1,trunk,5455825177,3168995666,106.596641,10.6965392,106.5955468,10.6931028
Quốc lộ 1,trunk,3168995666,3648397955,106.5955468,10.6931028,106.5954745,10.6928637
